id_invoice,issuedDate,country,service,total,discount,tax,invoiceStatus,balance,dueDate,client
26,2022-09-05,Jamaica,Web Development,1495.82,162.09,39.39,Overdue,1373.12,2022-09-29,Company D
14,2023-02-17,Congo,E-commerce Development,2002.99,154.12,18.46,Overdue,1867.33,2023-02-24,Company D
48,2023-07-03,Germany,UI/UX Design,719.95,112.77,28.89,Overdue,636.07,2023-07-18,Company D
84,2023-01-26,Aruba,E-commerce Development,3223.05,495.72,253.33,Overdue,2980.66,2023-02-02,Company D
4,2022-12-04,Fiji,UI/UX Design,552.87,41.37,20.4,Overdue,531.9,2022-12-27,Company E
80,2022-10-29,Netherlands,IoT Solution,5988.63,811.74,338.47,Overdue,5515.36,2022-11-17,Company D
44,2022-08-31,Portugal,IoT Solution,7984.69,73.01,126.37,Pending,8038.05,2022-09-13,Company C
49,2023-06-28,South Georgia and the South Sandwich Islands,UI/UX Design,343.21,3.85,7.66,Overdue,347.02,2023-07-06,Company D
44,2022-10-29,Saint Martin,UI/UX Design,266.91,9.94,16.85,Pending,273.82,2022-11-16,Company B
37,2023-04-14,Solomon Islands,Mobile App Development,1233.75,239.49,91.55,Overdue,1085.81,2023-05-11,Company D
94,2023-02-19,Costa Rica,Web Development,1585.72,95.92,53.95,Overdue,1543.75,2023-03-12,Company B
35,2022-10-16,Saint Kitts and Nevis,UI/UX Design,350.18,25.87,28.05,Pending,352.36,2022-10-31,Company A
2,2023-05-10,Taiwan,UI/UX Design,250.72,26.54,22.19,Pending,246.37,2023-05-17,Company A
82,2022-10-12,Botswana,Web Development,2250.57,260.71,10.5,Pending,2000.36,2022-11-03,Company B
11,2022-10-27,Poland,Mobile App Development,3847.74,50.22,33.86,Paid,3831.38,2022-11-09,Company E
24,2022-11-30,Ireland,Web Development,2316.65,242.94,66.49,Pending,2140.2,2022-12-29,Company D
78,2022-10-15,Belgium,IoT Solution,5982.88,312.76,231.97,Paid,5902.09,2022-11-11,Company A
1,2022-11-06,Ecuador,Web Development,1385.38,231.49,14.52,Paid,1168.41,2022-11-21,Company C
24,2022-08-06,Madagascar,Web Development,2913.66,166.18,264.69,Paid,3012.17,2022-08-16,Company A
18,2023-02-04,Lao People's Democratic Republic,IoT Solution,4534.77,479.05,276.08,Paid,4331.8,2023-02-25,Company E
15,2022-08-16,Bouvet Island (Bouvetoya),Web Development,1315.88,110.02,117.13,Pending,1322.99,2022-09-06,Company B
90,2023-03-21,Kyrgyz Republic,IoT Solution,4501.62,227.31,226.77,Overdue,4501.08,2023-04-08,Company E
84,2023-04-28,Anguilla,Mobile App Development,2721.59,160.84,121.63,Overdue,2682.38,2023-05-23,Company A
43,2022-09-17,Palestinian Territory,Web Development,2915.32,347.44,151.25,Overdue,2719.13,2022-10-03,Company D
64,2023-01-31,Egypt,AI Solution,6764.08,909.06,430.22,Pending,6285.24,2023-02-27,Company C
95,2023-02-13,Netherlands Antilles,UI/UX Design,492.0,5.11,7.38,Paid,494.27,2023-03-08,Company B
43,2023-03-01,Greenland,AI Solution,8466.65,1081.54,803.99,Paid,8189.1,2023-03-29,Company A
54,2022-12-30,Liechtenstein,IoT Solution,7033.92,268.56,298.86,Pending,7064.22,2023-01-10,Company B
41,2022-08-09,Uganda,AI Solution,7807.79,1507.04,532.12,Pending,6832.87,2022-09-01,Company C
38,2023-02-17,Macao,Web Development,1513.25,35.21,83.98,Overdue,1562.02,2023-02-24,Company A
29,2022-11-18,Wallis and Futuna,Web Development,528.51,54.56,50.1,Paid,524.05,2022-12-02,Company E
20,2023-01-05,South Africa,IoT Solution,3604.4,542.8,106.6,Paid,3168.2,2023-01-24,Company A
35,2023-03-04,Guinea-Bissau,E-commerce Development,4510.79,609.96,351.03,Pending,4251.86,2023-03-31,Company E
48,2022-08-16,Cuba,E-commerce Development,3459.47,592.94,142.21,Paid,3008.74,2022-08-27,Company A
11,2022-09-12,Ecuador,Mobile App Development,3555.07,688.44,241.13,Pending,3107.76,2022-09-19,Company A
91,2023-06-14,Dominica,Web Development,1957.19,34.22,64.41,Pending,1987.38,2023-07-02,Company D
66,2023-04-18,Montserrat,E-commerce Development,1173.44,84.04,101.3,Pending,1190.7,2023-04-25,Company E
77,2023-01-22,Venezuela,UI/UX Design,942.11,28.31,55.03,Pending,968.83,2023-02-06,Company E
55,2022-08-24,Norway,IoT Solution,5086.81,868.49,155.01,Overdue,4373.33,2022-09-03,Company B
90,2023-01-19,Colombia,E-commerce Development,1493.24,139.43,103.77,Paid,1457.58,2023-02-12,Company D
68,2023-04-12,Jordan,Mobile App Development,2837.08,265.42,246.67,Paid,2818.33,2023-05-09,Company B
48,2023-02-14,Iceland,Mobile App Development,3861.46,621.09,24.78,Pending,3265.15,2023-03-01,Company E
83,2022-12-05,American Samoa,IoT Solution,3024.09,472.3,194.15,Paid,2745.94,2022-12-18,Company B
56,2022-09-17,Cote d'Ivoire,UI/UX Design,243.79,0.54,15.06,Pending,258.31,2022-09-29,Company C
44,2022-07-25,Cyprus,E-commerce Development,4437.22,91.9,92.71,Pending,4438.03,2022-08-08,Company C
86,2022-12-13,Switzerland,IoT Solution,7705.94,324.82,495.11,Pending,7876.23,2023-01-07,Company B
68,2023-06-21,Liberia,IoT Solution,3202.28,112.35,176.65,Overdue,3266.58,2023-07-21,Company C
32,2023-04-12,Tonga,IoT Solution,5838.95,47.93,202.44,Overdue,5993.46,2023-04-26,Company C
68,2023-02-19,United States Minor Outlying Islands,Mobile App Development,4809.36,712.49,116.0,Pending,4212.87,2023-03-01,Company A
35,2022-10-10,Guadeloupe,E-commerce Development,1648.2,107.73,55.9,Paid,1596.37,2022-11-04,Company C
76,2022-08-24,Czech Republic,Web Development,1672.86,1.55,109.89,Pending,1781.2,2022-09-01,Company D
92,2022-08-11,Morocco,Web Development,2332.18,443.24,101.1,Overdue,1990.04,2022-09-08,Company A
44,2023-03-23,Sudan,E-commerce Development,2977.6,304.68,97.31,Pending,2770.23,2023-04-19,Company D
44,2023-06-09,Faroe Islands,IoT Solution,6203.42,403.15,422.41,Overdue,6222.68,2023-06-26,Company B
67,2023-04-13,Antigua and Barbuda,IoT Solution,2657.99,402.65,168.26,Paid,2423.6,2023-04-28,Company D
71,2022-07-23,Western Sahara,E-commerce Development,1359.17,209.88,29.23,Overdue,1178.52,2022-08-15,Company C
59,2023-07-01,Iran,Web Development,1304.08,4.68,36.65,Pending,1336.05,2023-07-30,Company B
66,2023-04-20,Bermuda,E-commerce Development,3448.55,637.9,185.14,Paid,2995.79,2023-05-06,Company E
97,2022-11-14,Montenegro,Web Development,785.7,145.57,63.99,Paid,704.12,2022-12-09,Company A
25,2022-11-05,Bhutan,E-commerce Development,1262.62,158.84,122.67,Paid,1226.45,2022-11-12,Company D
38,2023-06-29,Cambodia,Web Development,2238.5,153.69,206.99,Overdue,2291.8,2023-07-20,Company B
36,2023-04-25,Benin,E-commerce Development,4206.88,663.95,381.1,Overdue,3924.03,2023-05-07,Company E
28,2023-01-20,Panama,Mobile App Development,4069.93,730.15,124.86,Paid,3464.64,2023-02-14,Company D
46,2022-09-25,Finland,Web Development,1565.3,0.22,78.96,Pending,1644.04,2022-10-08,Company D
41,2023-05-03,Serbia,E-commerce Development,2911.18,379.96,235.2,Overdue,2766.42,2023-05-24,Company E
71,2023-03-16,Azerbaijan,E-commerce Development,1317.02,254.19,130.79,Pending,1193.62,2023-03-23,Company C
74,2023-03-15,Guinea-Bissau,IoT Solution,6988.27,1128.48,483.27,Pending,6343.06,2023-03-26,Company B
10,2022-11-20,Georgia,IoT Solution,3829.03,401.75,325.7,Overdue,3752.98,2022-12-02,Company B
88,2023-02-13,United States of America,IoT Solution,6662.09,1251.09,497.16,Paid,5908.16,2023-03-11,Company E
15,2023-02-15,Kenya,IoT Solution,7981.09,391.57,391.77,Pending,7981.29,2023-03-08,Company A
37,2022-09-05,Kuwait,IoT Solution,4303.51,416.45,209.53,Pending,4096.59,2022-09-25,Company B
77,2023-07-01,Norfolk Island,E-commerce Development,1637.62,134.21,111.19,Overdue,1614.6,2023-07-25,Company B
14,2022-10-13,Zimbabwe,E-commerce Development,1661.49,85.93,70.25,Pending,1645.81,2022-10-31,Company C
90,2023-04-06,Togo,Web Development,2070.69,24.42,12.46,Paid,2058.73,2023-04-30,Company A
100,2023-05-13,Honduras,IoT Solution,2064.52,14.03,162.29,Overdue,2212.78,2023-05-20,Company B
40,2023-05-31,Kenya,Web Development,1414.75,166.81,32.61,Overdue,1280.55,2023-06-28,Company E
60,2022-10-07,Lebanon,Mobile App Development,4753.75,806.42,96.07,Overdue,4043.4,2022-10-15,Company A
17,2022-08-08,Portugal,UI/UX Design,859.23,131.62,67.97,Overdue,795.58,2022-08-30,Company D
74,2023-04-04,Netherlands,UI/UX Design,673.04,131.32,30.01,Overdue,571.73,2023-05-01,Company A
4,2023-01-30,Philippines,UI/UX Design,249.72,40.65,4.51,Overdue,213.58,2023-02-09,Company E
9,2022-11-18,North Macedonia,Mobile App Development,4745.52,340.39,412.24,Overdue,4817.37,2022-12-02,Company B
11,2023-03-22,Antarctica (the territory South of 60 deg S),AI Solution,4291.86,461.11,355.86,Overdue,4186.61,2023-03-30,Company C
51,2023-04-23,Cameroon,E-commerce Development,3070.63,106.03,195.42,Overdue,3160.02,2023-05-23,Company A
46,2023-03-09,Trinidad and Tobago,Web Development,2324.65,401.5,102.02,Pending,2025.17,2023-03-18,Company E
34,2022-11-14,Swaziland,Web Development,1093.25,168.88,32.99,Paid,957.36,2022-12-02,Company B
73,2022-11-11,Lebanon,UI/UX Design,316.56,28.51,22.25,Overdue,310.3,2022-11-26,Company E
71,2022-11-15,Italy,Mobile App Development,4126.61,88.54,354.63,Overdue,4392.7,2022-12-11,Company A
45,2023-04-28,Croatia,Mobile App Development,3220.47,561.54,40.97,Paid,2699.9,2023-05-12,Company C
41,2023-02-03,Northern Mariana Islands,Mobile App Development,2491.98,256.98,33.82,Overdue,2268.82,2023-03-03,Company D
22,2022-10-11,Heard Island and McDonald Islands,Mobile App Development,2412.41,29.98,226.09,Pending,2608.52,2022-10-24,Company A
18,2023-03-28,Jamaica,UI/UX Design,780.66,34.85,9.95,Paid,755.76,2023-04-22,Company A
41,2022-09-01,Slovakia (Slovak Republic),IoT Solution,7687.73,1415.71,483.71,Pending,6755.73,2022-09-29,Company B
93,2023-01-30,Australia,IoT Solution,4585.55,535.96,6.21,Overdue,4055.8,2023-02-23,Company E
5,2023-02-06,Nicaragua,E-commerce Development,1959.99,150.23,88.63,Paid,1898.39,2023-03-05,Company C
26,2023-02-28,Egypt,UI/UX Design,369.81,44.16,32.43,Overdue,358.08,2023-03-25,Company C
24,2023-07-06,Cook Islands,Web Development,879.72,59.79,80.4,Pending,900.33,2023-07-28,Company D
75,2023-04-30,France,Web Development,2605.48,225.62,134.36,Overdue,2514.22,2023-05-07,Company B
46,2023-01-03,French Southern Territories,Mobile App Development,3046.03,580.39,181.34,Overdue,2646.98,2023-01-17,Company E
60,2023-04-02,Finland,E-commerce Development,3720.93,205.85,256.14,Pending,3771.22,2023-04-14,Company A
52,2023-01-01,Haiti,E-commerce Development,4967.38,271.15,201.52,Overdue,4897.75,2023-01-13,Company C
92,2022-10-06,Sri Lanka,Mobile App Development,2246.53,191.97,87.28,Overdue,2141.84,2022-10-15,Company D
31,2023-06-25,Burundi,E-commerce Development,2081.71,327.77,35.55,Overdue,1789.49,2023-07-17,Company C
95,2022-10-08,Samoa,IoT Solution,7783.02,660.32,767.89,Pending,7890.59,2022-10-15,Company E
1,2022-07-19,India,IoT Solution,4570.76,330.77,428.94,Pending,4668.93,2022-07-30,Company D
99,2022-12-27,Georgia,Mobile App Development,4758.69,22.29,87.99,Paid,4824.39,2023-01-08,Company E
78,2022-11-11,Korea,IoT Solution,6290.33,967.83,466.43,Pending,5788.93,2022-12-04,Company C
17,2022-08-24,Bulgaria,Mobile App Development,2704.65,133.71,57.64,Paid,2628.58,2022-09-12,Company B
52,2023-03-23,Saint Lucia,Mobile App Development,1574.61,45.99,130.09,Overdue,1658.71,2023-04-21,Company E
24,2023-01-03,Bouvet Island (Bouvetoya),IoT Solution,7024.15,997.47,641.36,Overdue,6668.04,2023-01-11,Company C
42,2023-04-26,Yemen,E-commerce Development,3538.95,363.81,5.95,Paid,3181.09,2023-05-05,Company D
68,2022-10-07,Uganda,AI Solution,7108.01,1058.57,53.3,Overdue,6102.74,2022-11-05,Company A
72,2022-10-10,Saint Kitts and Nevis,AI Solution,4217.39,771.26,261.98,Paid,3708.11,2022-10-26,Company E
90,2022-10-08,Swaziland,UI/UX Design,890.84,66.16,46.37,Paid,871.05,2022-10-22,Company D
24,2022-12-01,Armenia,Mobile App Development,2324.35,182.81,230.22,Pending,2371.76,2022-12-29,Company C
5,2023-04-06,Belgium,Mobile App Development,2071.67,255.26,129.97,Paid,1946.38,2023-04-18,Company D
65,2023-05-22,Mayotte,UI/UX Design,352.71,35.23,8.28,Paid,325.76,2023-06-17,Company E
99,2023-01-18,Ghana,Web Development,1438.29,258.05,73.27,Paid,1253.51,2023-02-09,Company A
39,2023-06-11,Argentina,UI/UX Design,380.94,5.79,9.62,Overdue,384.77,2023-06-18,Company E
83,2022-12-30,Iceland,Web Development,2408.27,394.32,215.54,Overdue,2229.49,2023-01-25,Company A
65,2023-03-19,Antigua and Barbuda,IoT Solution,6612.22,896.41,532.56,Pending,6248.37,2023-04-02,Company E
62,2023-01-25,Cayman Islands,Mobile App Development,1006.74,153.11,57.69,Paid,911.32,2023-02-08,Company B
68,2023-05-30,Yemen,UI/UX Design,501.46,19.09,47.73,Paid,530.1,2023-06-20,Company C
48,2023-01-15,New Zealand,IoT Solution,4631.46,430.39,439.89,Pending,4640.96,2023-02-13,Company D
10,2022-08-15,Kuwait,UI/UX Design,698.96,118.66,2.69,Overdue,582.99,2022-09-06,Company B
32,2023-03-31,Guam,E-commerce Development,2217.53,296.7,156.35,Overdue,2077.18,2023-04-22,Company E
73,2022-08-19,Antigua and Barbuda,E-commerce Development,4675.82,500.59,57.14,Overdue,4232.37,2022-09-02,Company C
44,2023-02-06,Oman,E-commerce Development,4453.58,453.09,137.85,Pending,4138.34,2023-02-25,Company E
24,2022-11-19,Ghana,IoT Solution,7767.39,773.16,774.65,Overdue,7768.88,2022-11-30,Company B
69,2023-06-10,South Georgia and the South Sandwich Islands,UI/UX Design,862.21,41.11,54.82,Overdue,875.92,2023-06-21,Company B
33,2023-03-29,Czech Republic,Mobile App Development,2349.47,180.16,185.62,Pending,2354.93,2023-04-25,Company E
68,2022-08-08,Congo,UI/UX Design,318.36,46.63,25.69,Paid,297.42,2022-08-22,Company B
35,2022-12-24,British Virgin Islands,E-commerce Development,1540.28,284.41,42.11,Overdue,1297.98,2022-12-31,Company B
90,2022-09-23,Cayman Islands,AI Solution,6150.65,374.97,475.62,Pending,6251.3,2022-10-13,Company B
